grid_id,longitude,latitude,gold_label_strict,distance_to_nearest_deposit_km,distance_to_nearest_broad_gold_site_km,spatial_fold,Random Forest,XGBoost,final_ensemble_score,model_disagreement,final_rank,pre_gravity_rank,pre_gravity_score,rank_movement_after_gravity_reduction,final_tier
56,122.42875978440868,-31.275422206252244,0.0,33.38676136727887,28.0878871955592,0,0.10354500677669455,0.02243824489414692,0.06299162583542073,0.08110676188254763,90,62,0.2512421216257184,-28,Lower
350,121.38618692797156,-29.83812432626661,0.0,23.697174611784508,23.05287471686771,3,0.1088330796333478,0.01122951414436102,0.06003129688885441,0.09760356548898678,91,112,0.1110239721901824,21,Lower
7,121.28192964232784,-31.45508444125045,0.0,16.840044761044457,15.90587799522,4,0.10694296181442138,0.012892370112240314,0.05991766596333085,0.09405059170218107,92,79,0.1915065676009045,-13,Lower
1,120.65638592846555,-31.45508444125045,0.0,51.437460332334105,35.700586118310724,4,0.09997796884979822,0.018279006704688072,0.059128487777243145,0.08169896214511015,93,94,0.1523328405567238,1,Lower
55,122.32450249876496,-31.275422206252244,0.0,26.79070835783545,19.96699460159669,0,0.09921957761526322,0.016029657796025276,0.05762461770564425,0.08318991981923794,94,66,0.2317550576005639,-28,Lower
356,122.01173064183382,-29.83812432626661,0.0,21.789452854625985,16.432117773818593,2,0.08626558410841366,0.028335746377706528,0.057300665243060094,0.05792983773070713,95,155,0.0139431725872776,60,Lower
262,122.11598792747752,-30.28727991376212,0.0,24.53388614771428,9.83470190887846,2,0.09065592542674704,0.013507721945643425,0.05208182368619523,0.07714820348110361,96,119,0.1000835307394288,23,Lower
0,120.55212864282186,-31.45508444125045,0.0,57.10895698952394,40.43335699773896,4,0.0776721932978642,0.017265157774090767,0.047468675535977486,0.06040703552377344,97,85,0.178550670281954,-12,Lower
43,121.07341507104042,-31.275422206252244,0.0,25.576759033461865,9.017386999755104,4,0.08290097353916966,0.010413933545351028,0.04665745354226034,0.07248703999381863,98,68,0.2275476586641991,-30,Lower
152,120.55212864282186,-30.73643550125763,0.0,34.65042072866529,20.373396716422643,1,0.08138539606605731,0.00973216537386179,0.04555878071995955,0.07165323069219552,99,107,0.1233522187864677,8,Lower
374,121.90747335619012,-29.748293208767507,0.0,25.080943049288525,17.186661927445538,2,0.06518084946864953,0.022007090970873833,0.043593970219761684,0.0431737584977757,100,138,0.0339828227613772,38,Lower
337,122.01173064183382,-29.92795544376571,0.0,25.10728758954287,20.13203283552537,2,0.0661433570594628,0.02061592787504196,0.04337964246725238,0.045527429184420834,101,140,0.0292551320551308,39,Lower
44,121.17767235668413,-31.275422206252244,0.0,24.76804599434328,11.942833927140155,4,0.07372715237698471,0.009604502469301224,0.04166582742314297,0.06412264990768349,102,72,0.2181912872884667,-30,Lower
318,122.01173064183382,-30.017786561264813,0.0,24.49490738066173,14.44360746365095,2,0.053625030171223366,0.017958983778953552,0.035792006975088456,0.035666046392269814,103,147,0.0223098479021052,44,Lower
60,120.864900499753,-31.185591088753142,0.0,15.673620939181626,7.314960448976593,4,0.058759670713705296,0.011532329022884369,0.035145999868294836,0.04722734169082093,104,84,0.1813271744935999,-20,Lower
114,120.55212864282186,-30.91609773625584,0.0,33.66740096329592,21.07538756898623,4,0.06098460014094395,0.008913173340260983,0.03494888674060247,0.05207142680068297,105,88,0.1682700360060938,-17,Lower
40,120.76064321410928,-31.275422206252244,0.0,29.24665675899218,13.593894199243488,4,0.05023939450766984,0.012433155439794064,0.031336274973731953,0.03780623906787578,106,96,0.1503640371778592,-10,Lower
300,122.11598792747752,-30.10761767876392,0.0,18.612041905467457,14.336952043989925,2,0.04318624537135306,0.0179225392639637,0.03055439231765838,0.025263706107389358,107,137,0.0347511003410297,30,Lower
95,120.55212864282186,-31.00592885375493,0.0,33.41414480430103,20.38603900396931,4,0.047591638891076024,0.011612928472459316,0.02960228368176767,0.03597871041861671,108,116,0.1024097649773083,8,Lower
42,120.9691577853967,-31.275422206252244,0.0,24.26201287730005,14.71416176157294,4,0.045804053561335004,0.011532329022884369,0.028668191292109686,0.034271724538450635,109,98,0.1461696239827302,-11,Lower
96,120.65638592846555,-31.00592885375493,0.0,23.50898122908286,10.745493065546189,4,0.045442758783072995,0.01029079221189022,0.027866775497481608,0.035151966571182774,110,101,0.1364688554684469,-9,Lower
16,122.22024521312125,-31.45508444125045,0.0,35.36903204244278,27.269807572508288,0,0.035719040641257985,0.01802004873752594,0.026869544689391962,0.017698991903732045,111,64,0.2372868600450438,-47,Lower
21,120.76064321410928,-31.365253323751347,0.0,37.96335977021795,23.40585180920542,4,0.041405649313311824,0.012213504873216152,0.026809577093263988,0.02919214444009567,112,103,0.1312982595819785,-9,Lower
39,120.65638592846555,-31.275422206252244,0.0,35.52844342996968,18.68726726197921,4,0.03966500423431117,0.012213504873216152,0.025939254553763662,0.02745149936109502,113,81,0.1846586048128802,-32,Lower
115,120.65638592846555,-30.91609773625584,0.0,23.958889154580827,11.990184672035316,4,0.0380216977458044,0.009805704466998577,0.023913701106401487,0.02821599327880582,114,99,0.139401467071575,-15,Lower
57,120.55212864282186,-31.185591088753142,0.0,37.27785508802033,23.3931039309576,4,0.03642156723289168,0.011238597333431244,0.023830082283161462,0.025182969899460436,115,110,0.1132351242646701,-5,Lower
41,120.864900499753,-31.275422206252244,0.0,25.143053170207004,14.72978754470223,4,0.03649217673732953,0.010102501139044762,0.023297338938187147,0.02638967559828477,116,86,0.1773899137145274,-30,Lower
6,121.17767235668413,-31.45508444125045,0.0,25.36586936294335,25.23024055802444,4,0.03347754780814217,0.009653831832110882,0.021565689820126525,0.023823715976031286,117,78,0.1988166289508735,-39,Lower
4,120.9691577853967,-31.45508444125045,0.0,44.16427402391657,31.1104611666685,4,0.0298791956597481,0.012421725317835808,0.021150460488791954,0.017457470341912293,118,128,0.073029300488089,10,Lower
281,122.11598792747752,-30.19744879626301,0.0,24.27743562550777,15.03571478568093,2,0.03163011322002695,0.01012351829558611,0.02087681575780653,0.02150659492444084,119,129,0.0621305842346578,10,Lower
